timenumber,time,speakerturn,speaker,originaltext,cleantext,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
853,28:22:00,852,WALLACE,FORMAT SIX ROUGHLY 15 MINUTE,FORMAT SIX ROUGHLY 15 MINUTE,5,93.26,50,43.37,25.77,5,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,28:24:00,854,WALLACE,SEGMENTS FOR THE FIRST CANDIDATE,SEGMENTS FOR THE FIRST CANDIDATE,5,99,50,99,25.77,5,40,80,40,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,28:25:00,856,WALLACE,TO OPEN AND OPEN DISCUSSIONS FOR,TO OPEN AND OPEN DISCUSSIONS FOR,6,99,95.2,98.01,25.77,6,16.67,100,50,0,0,0,0,0,0,0,0,0,33.33,0,0,16.67,0,33.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,28:28:00,858,WALLACE,THE REST OF EACH SEGMENT.,THE REST OF EACH SEGMENT.,5,99,50,43.37,25.77,5,20,80,40,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
861,28:29:00,860,WALLACE,BOTH CAMPAIGNS HAVE AGREED TO,BOTH CAMPAIGNS HAVE AGREED TO,5,93.26,50,43.37,99,5,20,100,40,0,0,0,0,0,0,0,0,0,20,20,0,0,0,20,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,28:30:00,862,WALLACE,THESE RULES.,THESE RULES.,2,1.92,50,1,25.77,2,0,100,50,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0
865,28:34:00,864,WALLACE,"FOR THE RECORD, I DECIDED TO THE","FOR THE RECORD, I DECIDED TO THE",7,99,7.67,89.63,25.77,7,14.29,85.71,71.43,14.29,14.29,14.29,0,0,0,0,0,28.57,28.57,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0
867,28:36:00,866,WALLACE,TOPICS AND QUESTIONS IN EACH,TOPICS AND QUESTIONS IN EACH,5,93.26,50,99,25.77,5,20,80,40,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,28:36:00,868,WALLACE,TOPIC.,TOPIC.,1,93.26,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0
871,28:38:00,870,WALLACE,I CAN ASSURE YOU NONE OF THE,I CAN ASSURE YOU NONE OF THE,7,29.3,50,13.15,99,7,0,100,85.71,28.57,28.57,14.29,0,14.29,0,0,0,14.29,14.29,14.29,0,0,14.29,0,0,0,0,0,14.29,14.29,14.29,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,28:40:00,872,WALLACE,QUESTIONS HAVE BEEN SHARED WITH,QUESTIONS HAVE BEEN SHARED WITH,5,52.71,97.69,43.37,99,5,20,100,60,0,0,0,0,0,0,0,0,0,20,40,0,0,0,60,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,28:42:00,874,WALLACE,THE COMMISSION OR THE TWO,THE COMMISSION OR THE TWO,5,99,2.31,43.37,25.77,5,20,80,60,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,28:43:00,876,WALLACE,CANDIDATES.,CANDIDATES.,1,93.26,50,1,25.77,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0
879,28:44:00,878,WALLACE,THIS DEBATE IS BEING CONDUCTED,THIS DEBATE IS BEING CONDUCTED,5,1,97.69,1,25.77,5,20,80,60,20,0,0,0,0,0,0,20,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,28:45:00,880,WALLACE,UNDER HEALTH AND SAFETY,UNDER HEALTH AND SAFETY,4,93.26,50,74.76,99,4,0,100,50,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,50,0,0,25,0,25,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,28:47:00,882,WALLACE,PROTOCOLS DESIGNED BY THE,PROTOCOLS DESIGNED BY THE,4,99,50,1,25.77,4,50,50,50,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,28:50:00,884,WALLACE,CLEVELAND CLINIC'S SERVING AS,CLEVELAND CLINIC'S SERVING AS,4,93.26,50,1,25.77,4,75,50,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0
887,28:50:00,886,WALLACE,THE HEALTH SECURITY ADVISOR TO,THE HEALTH SECURITY ADVISOR TO,5,99,97.69,1,99,5,40,100,40,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,28:54:00,888,WALLACE,THE COMMISSION FOR ALL DEBATES.,THE COMMISSION FOR ALL DEBATES.,5,99,50,1,25.77,5,40,60,40,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
891,28:55:00,890,WALLACE,AS A PRECAUTION BOTH CAMPAIGNS,AS A PRECAUTION BOTH CAMPAIGNS,5,99,50,43.37,25.77,5,40,80,40,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,28:57:00,892,WALLACE,HAVE AGREED THAT THE CANDIDATES,HAVE AGREED THAT THE CANDIDATES,5,52.71,50,1,99,5,20,80,60,20,0,0,0,0,0,0,20,20,0,20,0,0,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,28:58:00,894,WALLACE,WILL NOT SHAKE HANDS AT THE,WILL NOT SHAKE HANDS AT THE,6,93.26,1,99,1,6,0,100,66.67,0,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,16.67,16.67,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,16.67,0,0,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,33.33,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,29:00:00,896,WALLACE,BEGINNING OF TONIGHT'S DEBATE.,BEGINNING OF TONIGHT'S DEBATE.,4,99,99,99,25.77,4,50,100,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,25,0,0
899,29:03:00,898,WALLACE,THE AUDIENCE HERE HAVE PROMISED,THE AUDIENCE HERE HAVE PROMISED,5,52.71,50,1,99,5,40,80,60,0,0,0,0,0,0,0,0,20,0,20,20,0,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,29:07:00,900,WALLACE,"TO REMAIN SILENT, NO CHEERS OR","TO REMAIN SILENT, NO CHEERS OR",6,62.04,1,23.51,99,6,0,83.33,50,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,16.67,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,16.67,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0
903,29:10:00,902,WALLACE,"OTHER ENTERED OPTIONS, AND WE","OTHER ENTERED OPTIONS, AND WE",5,1,97.69,99,25.77,5,40,100,60,40,20,0,20,0,0,0,20,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,40,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0
905,29:10:00,904,WALLACE,AND MORE IMPORTANTLY YOU CAN,AND MORE IMPORTANTLY YOU CAN,5,1,99,1,99,5,20,100,60,20,20,0,0,20,0,0,0,0,0,20,0,20,0,0,20,20,0,0,20,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,29:11:00,906,WALLACE,FOCUS ON WHAT THE CANDIDATES,FOCUS ON WHAT THE CANDIDATES,5,99,50,43.37,25.77,5,20,60,60,20,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,29:14:00,908,WALLACE,HAVE TO SAY.,HAVE TO SAY.,3,93.26,99,1,25.77,3,0,100,66.67,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0
911,29:17:00,910,WALLACE,NO NOISE EXCEPT RIGHT NOW AS WE,NO NOISE EXCEPT RIGHT NOW AS WE,7,29.3,50,99,25.77,7,0,100,71.43,14.29,14.29,0,14.29,0,0,0,0,0,28.57,0,14.29,14.29,14.29,0,14.29,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29,14.29,0,14.29,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,14.29,0,28.57,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,29:18:00,912,WALLACE,"WELCOME THE REPUBLICAN NOMINEE,","WELCOME THE REPUBLICAN NOMINEE,",4,99,99,1,99,4,75,50,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0
915,29:23:00,914,WALLACE,PRESENT DONALD TRUMP AND THE,PRESENT DONALD TRUMP AND THE,5,93.26,50,43.37,25.77,5,20,60,40,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,29:24:00,916,WALLACE,DEMOCRATIC NOMINEE VICE,DEMOCRATIC NOMINEE VICE,3,93.26,50,1,25.77,3,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,29:26:00,918,WALLACE,PRESIDENT JOE BIDEN.,PRESIDENT JOE BIDEN.,3,93.26,50,1,25.77,3,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0
921,29:45:00,920,WALLACE,[APPLAUSE],[APPLAUSE],1,93.26,50,1,25.77,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
923,29:46:00,922,WALLACE,"GENTLEMEN, A LOT OF PEOPLE HAVE","GENTLEMEN, A LOT OF PEOPLE HAVE",6,99,99,1,25.77,6,16.67,100,50,0,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,33.33,0,0,0,16.67,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0
925,29:48:00,924,WALLACE,BEEN WAITING FOR THIS NIGHT SO,BEEN WAITING FOR THIS NIGHT SO,6,1.92,50,98.01,25.77,6,16.67,100,66.67,16.67,0,0,0,0,0,0,16.67,0,16.67,16.67,16.67,16.67,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,29:50:00,926,WALLACE,LET'S GET GOING.,LET'S GET GOING.,3,18.82,99,98.01,25.77,3,0,100,33.33,33.33,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,33.33,0,0,66.67,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0,0,0,33.33,0,0
929,29:51:00,928,WALLACE,THE FIRST SUBJECT IS THE SUPREME,THE FIRST SUBJECT IS THE SUPREME,6,99,50,23.51,99,6,33.33,83.33,50,0,0,0,0,0,0,0,0,33.33,0,16.67,0,0,0,16.67,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931,29:53:00,930,WALLACE,COURT.,COURT.,1,93.26,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0
933,29:53:00,932,WALLACE,SUPREME,SUPREME,1,93.26,50,1,99,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,29:53:00,934,WALLACE,COURT.,COURT.,1,93.26,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0
937,29:56:00,936,WALLACE,"PRESIDENT TRUMP, YOU NOMINATED","PRESIDENT TRUMP, YOU NOMINATED",4,38.6,99,1,25.77,4,50,75,25,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0
